Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Устенко,Йосип,Петрович,чоловіча,1973-05-05,Бухгалтер,хутір Амвросіївка,"вулиця Докова, буд. 53 кв. 6, Буринь, 60288",811-92-30,iesypenkoaaron@example.net
Тарасенко,Миколай,Олегович,чоловіча,1976-12-18,Перекладач,місто Христинівка,"вулиця 10-та Суворовська, буд. 188 кв. 288, Любомль, 62934",010 327 74 79,ptereshchenko@example.com
Бабійчук,Леон,Петрович,чоловіча,1958-05-10,Модель,хутір Баштанка,"парк Тимірязєва 3-й, буд. 93 кв. 525, Гірське, 90483",400 04 18,ustym40@example.com
Шахрай,Юстина,Олександрівна,жіноча,2005-03-04,Кухар,селище Моршин,"шосе ім. К.Г. Паустовського, буд. 9 кв. 998, Синельникове, 20154",049 890 71 18,venedykt79@example.net
Юхименко,Охрім,Вікторович,чоловіча,2002-06-03,Стоматолог,місто Макіївка,"сквер Тимірязєва 4-й, буд. 502, Бердичів, 44457",+380 47 289 55 74,yfomenko@example.com
Саєнко,Софія,Федорівна,жіноча,2006-04-28,Історик,хутір Керч,"проспект Стельмаха, буд. 33 кв. 01, Авдіївка, 34297",+380 27 433-65-21,karmaliukhlib@example.com
Царенко,Вадим,Васильович,чоловіча,1971-02-17,Архітектор,селище Глобине,"вулиця Соляний 6-й, буд. 29 кв. 3, Первомайськ, 50475",+380 32 563-23-18,vakulenkotereza@example.net
Гоголь-Яновська,Лукʼян,Андрійович,чоловіча,1968-11-24,Різноробочий,хутір Звенигородка,"парк Північна, буд. 124 кв. 67, Новомосковськ, 84493",098 559-37-63,corlyk@example.org
Алексеєнко,Семен,Дмитрович,чоловіча,1973-10-16,Геолог,село Черкаси,"шосе Книжковий, буд. 04, Мостиська, 42963",074 239 43 39,teslenkorozaliia@example.net
Затула,Алевтин,Павлович,чоловіча,1964-04-28,Педагог,село Шостка,"шосе Книжковий, буд. 788 кв. 1, Волочиськ, 91835",871-78-49,klyment30@example.net
Симоненко,Єва,Павлівна,жіноча,1971-11-10,Математик,селище Тернопіль,"сквер Деревообробний 3-й, буд. 6 кв. 7, Ямпіль, 13968",017 510 85 13,qbebeshko@example.com
Оліфіренко,Орина,Артемівна,жіноча,1992-08-22,Пекар,хутір Генічеськ,"провулок 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 851, Шаргород, 84611",097 639-77-47,iaroslava02@example.net
Заєць,Веніямин,Сергійович,чоловіча,1958-04-13,Біолог,село Липовець,"шосе 10-та Суворовська, буд. 260, Іловайськ, 56440",+380 56 109-80-02,makarchalyi@example.com
Базилевич,Пилип,Артемович,чоловіча,1983-11-27,Геофізик,хутір Кам'янка-Бузька,"провулок Слобідський узвіз, буд. 632, Горохів, 81817",+380 31 108 27 70,siaremchuk@example.org
Худобʼяк,Семен,Дмитрович,чоловіча,1959-01-05,Палеонтолог,село Буськ,"набережна Покровський, буд. 564 кв. 624, Мелітополь, 81293",073 421 18 24,arsen38@example.net
Зінчук,Єфрем,Михайлович,чоловіча,1987-06-27,Пекар,село Щастя ,"площа Сергія Уточкіна, буд. 90 кв. 40, Покров, 13923",002 987-35-63,volodymyr59@example.org
Даниленко,Вʼячеслав,Геннадійович,чоловіча,1957-05-10,Складальник,хутір Кам'янка (Черкаська область),"парк Лінія 46-та, буд. 22 кв. 66, Підгайці, 20758",+380 64 954-53-76,vanchenkoadam@example.org
Каденюк,Августин,Леонідович,чоловіча,1972-11-15,Співак,селище Костянтинівка,"набережна Морський 2-й, буд. 77, Тячів, 19150",+380 10 264 33 04,zatovkaniukpanas@example.net
Рева,Ілля,Ігоревич,чоловіча,1967-04-21,Пекар,місто Балаклія,"сквер Куликове поле, буд. 4, Білогірськ, 73489",+380 94 820-55-05,ruslangoliash@example.net
Юрчишина,Богуслава,Миколаївна,жіноча,1941-11-11,Ювелір,село Іловайськ,"узвіз Кондренка, буд. 976 кв. 08, Бобровиця, 56237",070 790 73 05,nadiia42@example.com
Якименко,Трохим,Михайлович,чоловіча,2000-11-10,Юрист,село Снігурівка,"проспект Тимірязєва, буд. 8, Коломия, 14400",+380 78 820-27-52,oleksa64@example.net
Валенко,Данило,Олегович,чоловіча,2004-03-14,Паблік рилейшнз,селище Сколе,"шосе Виноградна, буд. 9 кв. 7, Жашків, 29972",942 59 18,vasylsvyrydenko@example.org
Вобла,Данило,Петрович,чоловіча,1943-05-08,Електрик,хутір Покровськ,"сквер 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 23, Борислав, 93734",+380 34 393-73-20,tcherinko@example.org
Алексюк,Ганна,Олегівна,жіноча,1945-02-27,Астроном,місто Славута,"узвіз Олексіївська, буд. 079, Новоукраїнка, 72941",084 823 01 12,baranykdan@example.org
Бандурка,Марта,Олександрівна,жіноча,1987-10-21,Фотограф,селище Кропивницький,"шосе Чернігівський, буд. 1, Приморськ (Україна), 83095",+380 26 200 57 54,feofanbandurka@example.net
Юрченко,Михайло,Васильович,чоловіча,1972-02-16,Геолог,селище Бахчисарай,"вулиця Райдужна, буд. 135, Долинська, 56091",036 695-87-69,dupliianita@example.org
Юрчишин,Дмитро,Андрійович,чоловіча,1952-07-11,Детектив,хутір Світлодарськ,"сквер Квітнева, буд. 937, Покров, 28436",+380 08 907-00-53,vira73@example.com
Іваничук,Захар,Іванович,чоловіча,1947-09-24,Стиліст,селище Олександрія,"вулиця Успенська, буд. 4, Зміїв, 10274",649 72 32,hordiivenhrynovych@example.net
Верменич,Пармен,Петрович,чоловіча,1981-09-24,Фармацевт,місто Лохвиця,"набережна Травневий 2-й, буд. 2, Дружківка, 01485",+380 00 356-77-60,dannahuz@example.com
Андрійчук,Онисим,Павлович,чоловіча,1952-07-16,Професор,хутір Вараш,"сквер Задніпровського, буд. 371 кв. 86, Кілія, 79749",007 068 72 17,anton86@example.com
Пелех,Климент,Петрович,чоловіча,1953-11-24,Психолог,місто Яремче,"парк Шилова, буд. 75, Фастів, 62311",+380 54 629-30-81,uzaruba@example.com
Атаманюк,Валентина,Максимівна,жіноча,1981-01-16,Вчитель,село Липовець,"провулок Банний, буд. 9 кв. 001, Кальміуське, 87836",053 778 62 08,varfolomii14@example.com
Байдак,Лесь,Ігоревич,чоловіча,1981-12-10,Фрілансер,село Ананьїв,"парк Куликове поле, буд. 845 кв. 265, Бахчисарай, 35327",+380 45 551 19 06,hrechkoielysei@example.org
Авдєєнко,Роксолана,Федорівна,жіноча,1984-04-29,Архітектор,селище Ірпінь,"узвіз Деревообробний 1-й, буд. 2, Старокостянтинів, 12981",051 048-13-10,ozabashta@example.net
Зубко,Михайлина,Ігорівна,жіноча,1953-08-23,Редактор,село Бахмач,"шосе Василя Кандинського, буд. 58, Ямпіль, 12131",059 657-66-14,oleskorpaniuk@example.org
Дашенко,Вадим,Сергійович,чоловіча,1954-01-20,Єгер,селище Узин,"провулок Маяковського, буд. 70 кв. 54, Олександрія, 95119",254 99 41,volodymyrbaklan@example.org
Тарасенко,Марина,Павлівна,жіноча,1967-12-23,Футболіст,селище Надвірна,"проспект Ліверпульський, буд. 97 кв. 415, Таврійськ, 18832",430 80 21,leopoldtkach@example.net
Венгринович,Ірена,Сергіївна,жіноча,1978-12-23,Гінеколог,місто Вугледар,"парк Дніпровська, буд. 99 кв. 441, Узин, 97629",511-55-89,orynahavryshkevych@example.org
Вдовиченко,Устим,Андрійович,чоловіча,1955-07-05,Геофізик,хутір Бучач,"набережна Катерининська, буд. 6, Перемишляни, 12480",+380 39 316 30 66,hanna41@example.org
Лукаш,Сніжана,Сергіївна,жіноча,1979-06-15,Кіноактор,хутір Зіньків,"набережна Об'їзна дорога, буд. 961, Кролевець, 27563",078 347-97-35,cbaran@example.com
